代碼,題組,構念（中）,構念（英）,題幹（中）,題幹（英）,題目（中）,題目（英）,選項（中）,選項（英）,臺灣各選項%,OECD各選項%,Annex B 表
TC212Q01JA,TC212,,,,"This school year, do you teach the following <ISCED levels>?",,<ISCED 2>,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC212Q02JA,TC212,,,,"This school year, do you teach the following <ISCED levels>?",,<ISCED 3>,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC214Q01JA,TC214,,,,Please indicate at how many other schools you currently work as a teacher of <national modal grade for 15-year-olds>.,,Please indicate at how many other schools you currently work as a teacher of <national modal grade for 15-year-olds>.,,,,,
TC216Q01JA_Q,TC216,,,,How many 60-minute hours did you spend on the following tasks during your most recent complete calendar week at this school?,,Teaching,Bottom international quartile - Median: 10 | Second international quartile - Median: 15 | Third international quartile - Median: 19 | Top international quartile - Median: 25 | not administered/not applicable | no response,Bottom international quartile - Median: 10 | Second international quartile - Median: 15 | Third international quartile - Median: 19 | Top international quartile - Median: 25 | not administered/not applicable | no response,,,
TC216Q02JA_Q,TC216,,,,How many 60-minute hours did you spend on the following tasks during your most recent complete calendar week at this school?,,Individual planning or preparation of lessons either at school or out of school,Bottom international quartile - Median: 3 | Second international quartile - Median: 5 | Third international quartile - Median: 10 | Top international quartile - Median: 16 | not administered/not applicable | no response,Bottom international quartile - Median: 3 | Second international quartile - Median: 5 | Third international quartile - Median: 10 | Top international quartile - Median: 16 | not administered/not applicable | no response,,,
TC216Q03JA_Q,TC216,,,,How many 60-minute hours did you spend on the following tasks during your most recent complete calendar week at this school?,,Teamwork and dialogue with colleagues within this school,Bottom international quartile - Median: 1 | Second international quartile - Median: 2 | Third international quartile - Median: 3 | Top international quartile - Median: 6 | not administered/not applicable | no response,Bottom international quartile - Median: 1 | Second international quartile - Median: 2 | Third international quartile - Median: 3 | Top international quartile - Median: 6 | not administered/not applicable | no response,,,
TC216Q04JA_Q,TC216,,,,How many 60-minute hours did you spend on the following tasks during your most recent complete calendar week at this school?,,Marking/correcting of student work,Bottom international quartile - Median: 2 | Second international quartile - Median: 3 | Third international quartile - Median: 5 | Top international quartile - Median: 10 | not administered/not applicable | no response,Bottom international quartile - Median: 2 | Second international quartile - Median: 3 | Third international quartile - Median: 5 | Top international quartile - Median: 10 | not administered/not applicable | no response,,,
TC216Q05JA_Q,TC216,,,,How many 60-minute hours did you spend on the following tasks during your most recent complete calendar week at this school?,,"Counselling students (including student supervision, mentoring, virtual counselling, career guidance and behaviour guidance)",Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,Bottom international quartile | Second international quartile | Third international quartile | Top international quartile | not administered/not applicable | no response,,,
TC216Q06JA_Q,TC216,,,,How many 60-minute hours did you spend on the following tasks during your most recent complete calendar week at this school?,,"General administrative work (including communication, paperwork and other clerical duties)",Bottom international quartile - Median: 1 | Second international quartile - Median: 2 | Third international quartile - Median: 3 | Top international quartile - Median: 7 | not administered/not applicable | no response,Bottom international quartile - Median: 1 | Second international quartile - Median: 2 | Third international quartile - Median: 3 | Top international quartile - Median: 7 | not administered/not applicable | no response,,,
TC216Q07JA_Q,TC216,,,,How many 60-minute hours did you spend on the following tasks during your most recent complete calendar week at this school?,,Communication and co-operation with parents or guardians,Bottom international quartile - Median: 0 | Second international quartile - Median:  1 | Third international quartile - Median: 2 | Top international quartile - Median: 5 | not administered/not applicable | no response,Bottom international quartile - Median: 0 | Second international quartile - Median:  1 | Third international quartile - Median: 2 | Top international quartile - Median: 5 | not administered/not applicable | no response,,,
TC216Q08JA_Q,TC216,,,,How many 60-minute hours did you spend on the following tasks during your most recent complete calendar week at this school?,,Engaging in extracurricular activities (e.g. sports and cultural activities after school),Bottom international quartile - Median: 0 | Second international quartile - Median: 1 | Third international quartile - Median: 2 | Top international quartile - Median: 5 | not administered/not applicable | no response,Bottom international quartile - Median: 0 | Second international quartile - Median: 1 | Third international quartile - Median: 2 | Top international quartile - Median: 5 | not administered/not applicable | no response,,,
TC220Q02JA,TC220,,,,"This school year, how often did you do the following activities?",,Use <digital resources> to design tasks,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
TC220Q06JA,TC220,,,,"This school year, how often did you do the following activities?",,Use <digital resources> to enable student collaboration,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
TC220Q10JA,TC220,,,,"This school year, how often did you do the following activities?",,Use online tools or computer-based testing to assess students’ learning,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
TC220Q11JA,TC220,,,,"This school year, how often did you do the following activities?",,Use <digital resources> to share ideas or resources with colleagues,從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
TC220Q14DA,TC220,,,,"This school year, how often did you do the following activities?",,"Use digital learning games (e.g. <Atlantis Remixed>, <Duolingo®>) as teaching materials",從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
TC220Q15DA,TC220,,,,"This school year, how often did you do the following activities?",,"Use Artificial Intelligence chatbots (e.g. <ChatGPT>, <Google Bard>) to prepare lessons",從不或幾乎從不 | 大約一年一到兩次 | 大約一個月一到兩次 | 大約一週一到兩次 | 每天或幾乎每天,Never or almost never | About once or twice a year | About once or twice a month | About once or twice a week | Every day or almost every day,,,
TC261Q01DA,TC261,,,,"What is your current employment status as a teacher, in terms of working hours?",,My employment status at this school,Full-time (more than 90% of full-time hours) | Part-time (71-90% of full-time hours) | Part-time (50-70% of full-time hours) | Part-time (less than 50% of full-time hours) | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Full-time (more than 90% of full-time hours) | Part-time (71-90% of full-time hours) | Part-time (50-70% of full-time hours) | Part-time (less than 50% of full-time hours) | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC261Q02JA,TC261,,,,"What is your current employment status as a teacher, in terms of working hours?",,All my teaching employments together,Full-time (more than 90% of full-time hours) | Part-time (71-90% of full-time hours) | Part-time (50-70% of full-time hours) | Part-time (less than 50% of full-time hours) | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Full-time (more than 90% of full-time hours) | Part-time (71-90% of full-time hours) | Part-time (50-70% of full-time hours) | Part-time (less than 50% of full-time hours) | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC400Q01DA,TC400,,,,What is your gender?,,What is your gender?,Female | Male | <Country specific> | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Female | Male | <Country specific> | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC401Q01DA,TC401,,,,How is <school science> instruction organized at your school?,,How is <school science> instruction organized at your school?,"It is divided into separate subject classes (e.g. biology, physics, and chemistry) | It is combined/integrated in a “general” science class | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","It is divided into separate subject classes (e.g. biology, physics, and chemistry) | It is combined/integrated in a “general” science class | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC402Q01DA,TC402,,,,Are <school science> classes compulsory for students?,,Are <school science> classes compulsory for students?,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC403Q01DA,TC403,,,,Are <school science> classes taught for the entire school year?,,Are <school science> classes taught for the entire school year?,是 | 否 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Yes | No | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC404Q01DA,TC404,,,,Do science teachers teach one or more than one subject area of school science?,,Do science teachers teach one or more than one subject area of school science?,One subject area of school science | More than one subject area of school science | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,One subject area of school science | More than one subject area of school science | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC405Q01DA,TC405,,,,How are students grouped in your <school science> classes?,,How are students grouped in your <school science> classes?,By ability within their <school science> classes | By ability in different <school science> classes | They are not grouped at all | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,By ability within their <school science> classes | By ability in different <school science> classes | They are not grouped at all | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC406Q01DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,"Structure of the Earth (e.g. plate tectonics, layers of the Earth, rock cycle)","否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q02DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,"Atmosphere, weather and climate","否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q03DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Force and motion,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q04DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Electricity,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q05DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Chemical reactions,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q06DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Structure and function of the human body,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q07DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Sexual and asexual reproduction,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q08DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Evolution,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q09DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Climate change,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q10DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Environments and habitats,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q11DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,"Ecosystems (e.g. food web, habitat)","否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q12DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Interactions between global systems,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q13DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,The processes and practices of scientific enquiry,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q14DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Atomic structure,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q15DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Properties of matter,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q16DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Our solar system and its place in the universe,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q17DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Cells and their functions,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q18DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Genetics,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q19DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Scientific inventions and/or discoveries and their benefits for society,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q20DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Ethics of scientific experiments or investigations,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q21DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,Energy transfers and transformation,"否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC406Q22DA,TC406,,,,Have you taught the following areas of <school science> to students in <national modal grade for 15-year-olds> in the past two school years?,,"Disturbances to the environment (e.g. pollution, overfishing, deforestation)","否 | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response","No | Yes, for one week of lessons or less | Yes, for more than one week of lessons | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response",,,
TC407Q01DA,TC407,,,,To what extent do you agree with the following statements about leadership in your school?,,My <leadership team> always explains their decisions.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC407Q02DA,TC407,,,,To what extent do you agree with the following statements about leadership in your school?,,The <leadership team> always puts teaching and learning at the forefront of their decisions.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC407Q03DA,TC407,,,,To what extent do you agree with the following statements about leadership in your school?,,I feel supported in my teaching and learning by my <leadership team>.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC407Q04DA,TC407,,,,To what extent do you agree with the following statements about leadership in your school?,,My <leadership team> has defined their shared expectations of staff and students.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC407Q05DA,TC407,,,,To what extent do you agree with the following statements about leadership in your school?,,My <leadership team> uses resources strategically to build teaching and learning capabilities.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC407Q06DA,TC407,,,,To what extent do you agree with the following statements about leadership in your school?,,My <leadership team> promotes a positive school learning environment.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC407Q07DA,TC407,,,,To what extent do you agree with the following statements about leadership in your school?,,My <leadership team> both participates and encourages teachers to develop their leadership skills and knowledge.,非常不同意 | 不同意 | 同意 | 非常同意 | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC408Q01DA,TC408,,,,How often do you undertake the following activities with your <school science> students to improve their understanding of science?,,"Take students on an excursion to visit museums that include science related displays (e.g. natural history, space)",從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC408Q03DA,TC408,,,,How often do you undertake the following activities with your <school science> students to improve their understanding of science?,,Organise visits with scientists to work with students,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC408Q04DA,TC408,,,,How often do you undertake the following activities with your <school science> students to improve their understanding of science?,,Work with students to grow a school garden,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC408Q05DA,TC408,,,,How often do you undertake the following activities with your <school science> students to improve their understanding of science?,,"Take students to visit zoos, aquariums, or other wildlife centres",從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC408Q06DA,TC408,,,,How often do you undertake the following activities with your <school science> students to improve their understanding of science?,,Run a science club outside of set class times,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC408Q07DA,TC408,,,,How often do you undertake the following activities with your <school science> students to improve their understanding of science?,,Discuss new scientific discoveries or inventions that are unrelated to the topics currently being taught,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC408Q08DA,TC408,,,,How often do you undertake the following activities with your <school science> students to improve their understanding of science?,,Discuss how scientific data can be misrepresented in the media and social media,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC408Q09DA,TC408,,,,How often do you undertake the following activities with your <school science> students to improve their understanding of science?,,Discuss pseudoscience and scientific misconceptions,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC409Q01DA,TC409,,,,How much have you learnt about co-operation between parents or guardians and teachers during the following activities?,,During teacher training as a specific topic,完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC409Q02DA,TC409,,,,How much have you learnt about co-operation between parents or guardians and teachers during the following activities?,,During teacher training when it was integrated within teaching topics,完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC409Q03DA,TC409,,,,How much have you learnt about co-operation between parents or guardians and teachers during the following activities?,,During professional development workshops,完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC409Q04DA,TC409,,,,How much have you learnt about co-operation between parents or guardians and teachers during the following activities?,,During my daily teaching practice,完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC409Q05DA,TC409,,,,How much have you learnt about co-operation between parents or guardians and teachers during the following activities?,,During discussions with more experienced teaching colleagues,完全不會 | 很少 | 有一些 | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Not at all | Very little | To some extent | A lot | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC410Q02DA,TC410,,,,How often are parents or guardians involved in the following situations?,,Providing general assistance to the class during science-based excursions and when science experts visit the school,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC410Q03DA,TC410,,,,How often are parents or guardians involved in the following situations?,,Discussing their child’s science academic performance with you,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC410Q05DA,TC410,,,,How often are parents or guardians involved in the following situations?,,Discussing how they can support their child’s future career in science with you,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC410Q06DA,TC410,,,,How often are parents or guardians involved in the following situations?,,Discussing how to help their child with their science work at home with you,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC410Q07DA,TC410,,,,How often are parents or guardians involved in the following situations?,,Discussing concerns with science curriculum content,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC410Q08DA,TC410,,,,How often are parents or guardians involved in the following situations?,,Attending formal parent or guardian teacher interviews,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC411Q04DA,TC411,,,,How often do you collaborate with your fellow <school science> teachers in the following ways?,,We discuss the achievement requirements for <school science> when setting tests.,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC411Q13DA,TC411,,,,How often do you collaborate with your fellow <school science> teachers in the following ways?,,We exchange tasks for lessons and homework that cover a range of different levels of difficulty.,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC411Q14DA,TC411,,,,How often do you collaborate with your fellow <school science> teachers in the following ways?,,I prepare a selection of teaching units with my fellow <school science> teachers.,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
TC411Q15DA,TC411,,,,How often do you collaborate with your fellow <school science> teachers in the following ways?,,We discuss ways to teach learning strategies and techniques to our students.,從不 | Rarely | 有時 | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Never | Rarely | Sometimes | Frequently | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,
