題項代碼,題組,問卷,題幹（英文原文）,題目（英文原文）,選項（依序）,對應構念,Annex B 表,臺灣各選項%,OECD各選項%
ST062Q03TA,ST062,學生問卷,"In the last two full weeks of school, how often did the following things occur?",I arrived late for school,Never | One or two times | Three or four times | Five or more times | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,,,,
ST071Q01NA,ST071,學生問卷,"This school year, approximately how many hours per week do you spend learning in addition to your required school schedule in the following subjects?",Learning in addition (how many hours) - Science,,,,,
ST071Q06DA,ST071,學生問卷,"This school year, approximately how many hours per week do you spend learning in addition to your required school schedule in the following subjects?",Learning in addition (how many hours) - Other subjects,,,,,
ST092Q01TA,ST092,學生問卷,How informed are you about the following environmental issues?,The increase of greenhouse gases in the atmosphere,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' environmental awareness,Table I.B1.5.6,I have never heard of this=4.58 | I have heard about this but I would not be able to explain what it is really about=18.39 | I know something about this and could explain the general issue=60.89 | I am familiar with this and I would be able to explain this well=16.14,I have never heard of this=14.78 | I have heard about this but I would not be able to explain what it is really about=28.05 | I know something about this and could explain the general issue=35.95 | I am familiar with this and I would be able to explain this well=21.21
ST092Q04TA,ST092,學生問卷,How informed are you about the following environmental issues?,Nuclear waste,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' environmental awareness,Table I.B1.5.6,I have never heard of this=3.97 | I have heard about this but I would not be able to explain what it is really about=29.4 | I know something about this and could explain the general issue=55.91 | I am familiar with this and I would be able to explain this well=10.72,I have never heard of this=13.92 | I have heard about this but I would not be able to explain what it is really about=40.61 | I know something about this and could explain the general issue=33.25 | I am familiar with this and I would be able to explain this well=12.22
ST092Q05TA,ST092,學生問卷,How informed are you about the following environmental issues?,The consequences of clearing forests for other land use,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' environmental awareness,Table I.B1.5.6,I have never heard of this=3.94 | I have heard about this but I would not be able to explain what it is really about=17.44 | I know something about this and could explain the general issue=60.94 | I am familiar with this and I would be able to explain this well=17.68,I have never heard of this=9.92 | I have heard about this but I would not be able to explain what it is really about=22.9 | I know something about this and could explain the general issue=41.28 | I am familiar with this and I would be able to explain this well=25.89
ST092Q08NA,ST092,學生問卷,How informed are you about the following environmental issues?,Extinction of plants and animals,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' environmental awareness,Table I.B1.5.6,I have never heard of this=2.99 | I have heard about this but I would not be able to explain what it is really about=17.5 | I know something about this and could explain the general issue=61.8 | I am familiar with this and I would be able to explain this well=17.71,I have never heard of this=5.98 | I have heard about this but I would not be able to explain what it is really about=18.99 | I know something about this and could explain the general issue=45.1 | I am familiar with this and I would be able to explain this well=29.93
ST092Q09NA,ST092,學生問卷,How informed are you about the following environmental issues?,Water shortages,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' environmental awareness,Table I.B1.5.6,I have never heard of this=2.85 | I have heard about this but I would not be able to explain what it is really about=14.79 | I know something about this and could explain the general issue=62.76 | I am familiar with this and I would be able to explain this well=19.6,I have never heard of this=7.7 | I have heard about this but I would not be able to explain what it is really about=24.26 | I know something about this and could explain the general issue=43.13 | I am familiar with this and I would be able to explain this well=24.91
ST092Q14DA,ST092,學生問卷,How informed are you about the following environmental issues?,Effects of plastic pollution,I have never heard of this | I have heard about this but I would not be able to explain what it is really about | I know something about this and could explain the general issue | I am familiar with this and I would be able to explain this well | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' environmental awareness,Table I.B1.5.6,I have never heard of this=2.91 | I have heard about this but I would not be able to explain what it is really about=13.06 | I know something about this and could explain the general issue=62.68 | I am familiar with this and I would be able to explain this well=21.35,I have never heard of this=5.81 | I have heard about this but I would not be able to explain what it is really about=18.09 | I know something about this and could explain the general issue=43.53 | I am familiar with this and I would be able to explain this well=32.57
ST094Q01NA,ST094,學生問卷,How much do you disagree or agree with the statements about yourself below?,I generally have fun when I am learning <broad science> topics,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' enjoyment of science,Table I.B1.3.53,Strongly disagree=9.5 | Disagree=26.28 | Agree=50.55 | Strongly agree=13.67,Strongly disagree=14.61 | Disagree=24.95 | Agree=45.99 | Strongly agree=14.45
ST094Q03NA,ST094,學生問卷,How much do you disagree or agree with the statements about yourself below?,I am happy working on <broad science> topics,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' enjoyment of science,Table I.B1.3.53,,
ST094Q04NA,ST094,學生問卷,How much do you disagree or agree with the statements about yourself below?,I enjoy acquiring new knowledge in <broad science>,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' enjoyment of science,Table I.B1.3.53,,
ST094Q05NA,ST094,學生問卷,How much do you disagree or agree with the statements about yourself below?,I am interested in learning about <broad science>,Strongly disagree | Disagree | Agree | Strongly agree | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Students' enjoyment of science,Table I.B1.3.53,,
ST097Q01TA,ST097,學生問卷,How often do these things happen in your <school science> lessons?,Students do not listen to what the teacher said,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Disciplinary climate in school science lessons,Table I.B1.4.132,Every lesson=2.62 | Most lessons=8.42 | Some lessons=43.14 | Never or almost never=45.82,Every lesson=9.5 | Most lessons=19.38 | Some lessons=47.94 | Never or almost never=23.17
ST097Q02TA,ST097,學生問卷,How often do these things happen in your <school science> lessons?,There is noise and disorder,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Disciplinary climate in school science lessons,Table I.B1.4.132,Every lesson=3.31 | Most lessons=12.24 | Some lessons=50.16 | Never or almost never=34.3,Every lesson=10.08 | Most lessons=20.93 | Some lessons=45.15 | Never or almost never=23.83
ST097Q03TA,ST097,學生問卷,How often do these things happen in your <school science> lessons?,The teacher has to wait a long time for students to quiet down,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Disciplinary climate in school science lessons,Table I.B1.4.132,Every lesson=2.98 | Most lessons=9.69 | Some lessons=39.46 | Never or almost never=47.87,Every lesson=7.97 | Most lessons=16.4 | Some lessons=40.46 | Never or almost never=35.17
ST097Q04TA,ST097,學生問卷,How often do these things happen in your <school science> lessons?,Students cannot work well,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Disciplinary climate in school science lessons,Table I.B1.4.132,Every lesson=3.3 | Most lessons=9.76 | Some lessons=41.51 | Never or almost never=45.43,Every lesson=6.05 | Most lessons=13.37 | Some lessons=41.05 | Never or almost never=39.53
ST097Q05TA,ST097,學生問卷,How often do these things happen in your <school science> lessons?,Students do not start working for a long time after the lesson begins,Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Disciplinary climate in school science lessons,Table I.B1.4.132,Every lesson=3.8 | Most lessons=11.83 | Some lessons=41.62 | Never or almost never=42.75,Every lesson=7.41 | Most lessons=16.18 | Some lessons=38.46 | Never or almost never=37.95
ST097Q06DA,ST097,學生問卷,How often do these things happen in your <school science> lessons?,"Students get distracted by using <digital resources> (e.g. smartphones, websites, apps)",Every lesson | Most lessons | Some lessons | Never or almost never | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Disciplinary climate in school science lessons,Table I.B1.4.132,,
ST100Q01TA,ST100,學生問卷,How often do these things happen in your <school science> lessons?,The teacher shows an interest in every student’s learning,Every lesson | Most lessons | Some lessons | Never or hardly ever | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Teacher support in science lessons,Table I.B1.4.113,Every lesson=40.81 | Most lessons=38.12 | Some lessons=17.77 | Never or hardly ever=3.3,Every lesson=35.85 | Most lessons=33.0 | Some lessons=21.63 | Never or hardly ever=9.52
ST100Q02TA,ST100,學生問卷,How often do these things happen in your <school science> lessons?,The teacher gives extra help when students need it,Every lesson | Most lessons | Some lessons | Never or hardly ever | valid skip (filter rule) | system missing | not administered/not applicable | invalid | no response,Teacher support in science lessons,Table I.B1.4.113,Every lesson=51.45 | Most lessons=33.02 | Some lessons=12.51 | Never or hardly ever=3.02,Every lesson=41.22 | Most lessons=31.54 | Some lessons=19.46 | Never or hardly ever=7.79
